"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Brazoria County, TX"	"48039"	42	362457	11.6
	"Cameron County, TX"	"48061"	23	423725	5.4
	"Collin County, TX"	"48085"	73	969603	7.5
	"Comal County, TX"	"48091"	17	141009	Unreliable
	"Dallas County, TX"	"48113"	344	2618148	13.1
	"Denton County, TX"	"48121"	73	836210	8.7
	"Ector County, TX"	"48135"	21	157087	13.4
	"Ellis County, TX"	"48139"	23	173620	13.2
	"El Paso County, TX"	"48141"	97	840410	11.5
	"Fort Bend County, TX"	"48157"	45	764828	5.9
	"Galveston County, TX"	"48167"	55	335036	16.4
	"Grayson County, TX"	"48181"	20	131140	15.3
	"Guadalupe County, TX"	"48187"	15	159659	Unreliable
	"Harris County, TX"	"48201"	549	4652980	11.8
	"Hays County, TX"	"48209"	19	214485	Unreliable
	"Henderson County, TX"	"48213"	13	81064	Unreliable
	"Hidalgo County, TX"	"48215"	32	860661	3.7
	"Hood County, TX"	"48221"	13	58273	Unreliable
	"Hunt County, TX"	"48231"	12	93872	Unreliable
	"Jefferson County, TX"	"48245"	34	256299	13.3
	"Johnson County, TX"	"48251"	17	167301	Unreliable
	"Kaufman County, TX"	"48257"	15	122883	Unreliable
	"Liberty County, TX"	"48291"	12	83658	Unreliable
	"Lubbock County, TX"	"48303"	48	305225	15.7
	"McLennan County, TX"	"48309"	25	251259	9.9
	"Montgomery County, TX"	"48339"	99	570934	17.3
	"Nueces County, TX"	"48355"	78	361221	21.6
	"Orange County, TX"	"48361"	25	85047	29.4
	"Parker County, TX"	"48367"	16	133463	Unreliable
	"Potter County, TX"	"48375"	17	120458	Unreliable
	"Randall County, TX"	"48381"	22	134442	16.4
	"Rockwall County, TX"	"48397"	14	96788	Unreliable
	"San Patricio County, TX"	"48409"	10	67215	Unreliable
	"Smith County, TX"	"48423"	16	227727	Unreliable
	"Tarrant County, TX"	"48439"	204	2054475	9.9
	"Taylor County, TX"	"48441"	16	136290	Unreliable
	"Tom Green County, TX"	"48451"	15	118019	Unreliable
	"Travis County, TX"	"48453"	148	1226698	12.1
	"Victoria County, TX"	"48469"	10	92084	Unreliable
	"Webb County, TX"	"48479"	40	274794	14.6
	"Wichita County, TX"	"48485"	17	132000	Unreliable
	"Williamson County, TX"	"48491"	23	547545	4.2
	"Wise County, TX"	"48497"	11	66181	Unreliable
	"Cache County, UT"	"49005"	15	124438	Unreliable
	"Carbon County, UT"	"49007"	10	20295	Unreliable
	"Davis County, UT"	"49011"	60	347637	17.3
	"Iron County, UT"	"49021"	10	51001	Unreliable
	"Salt Lake County, UT"	"49035"	291	1135649	25.6
	"Tooele County, UT"	"49045"	16	67456	Unreliable
	"Utah County, UT"	"49049"	116	606425	19.1
	"Washington County, UT"	"49053"	36	165662	21.7
	"Weber County, UT"	"49057"	74	251769	29.4
	"Chittenden County, VT"	"50007"	40	162372	24.6
	"Franklin County, VT"	"50011"	14	49025	Unreliable
	"Rutland County, VT"	"50021"	13	59087	Unreliable
	"Washington County, VT"	"50023"	12	58290	Unreliable
	"Windham County, VT"	"50025"	21	42869	49.0
	"Windsor County, VT"	"50027"	14	55100	Unreliable
	"Arlington County, VA"	"51013"	19	234965	Unreliable
	"Augusta County, VA"	"51015"	17	75144	Unreliable
	"Bedford County, VA"	"51019"	17	77974	Unreliable
	"Chesterfield County, VA"	"51041"	74	343599	21.5
	"Culpeper County, VA"	"51047"	24	51282	46.8
	"Fairfax County, VA"	"51059"	122	1148433	10.6
	"Fauquier County, VA"	"51061"	18	69465	Unreliable
	"Frederick County, VA"	"51069"	17	86484	Unreliable
	"Hanover County, VA"	"51085"	25	105923	23.6
	"Henrico County, VA"	"51087"	70	327898	21.3
	"Henry County, VA"	"51089"	14	51227	Unreliable
	"James City County, VA"	"51095"	12	75524	Unreliable
	"King George County, VA"	"51099"	11	26337	Unreliable
	"Loudoun County, VA"	"51107"	30	398080	7.5
	"Montgomery County, VA"	"51121"	13	98559	Unreliable
	"Orange County, VA"	"51137"	10	36073	Unreliable
	"Prince George County, VA"	"51149"	10	37809	Unreliable
	"Prince William County, VA"	"51153"	69	463023	14.9
	"Pulaski County, VA"	"51155"	11	34184	Unreliable
	"Roanoke County, VA"	"51161"	24	93730	25.6
	"Shenandoah County, VA"	"51171"	10	43225	Unreliable
	"Spotsylvania County, VA"	"51177"	22	133033	16.5
	"Stafford County, VA"	"51179"	19	146649	Unreliable
	"Tazewell County, VA"	"51185"	11	41095	Unreliable
	"Warren County, VA"	"51187"	17	39563	Unreliable
	"Washington County, VA"	"51191"	13	54387	Unreliable
	"Wise County, VA"	"51195"	20	38586	51.8
	"Alexandria city, VA"	"51510"	15	160035	Unreliable
	"Chesapeake city, VA"	"51550"	51	240397	21.2
	"Hampton city, VA"	"51650"	21	134669	15.6
	"Hopewell city, VA"	"51670"	11	22621	Unreliable
	"Lynchburg city, VA"	"51680"	11	80995	Unreliable
	"Newport News city, VA"	"51700"	31	179388	17.3
	"Norfolk city, VA"	"51710"	65	244703	26.6
	"Petersburg city, VA"	"51730"	15	31750	Unreliable
	"Portsmouth city, VA"	"51740"	27	94572	28.5
	"Richmond city, VA"	"51760"	82	227032	36.1
	"Roanoke city, VA"	"51770"	51	99837	51.1
	"Suffolk city, VA"	"51800"	10	90237	Unreliable
	"Virginia Beach city, VA"	"51810"	83	450435	18.4
	"Benton County, WA"	"53005"	32	198171	16.1
	"Chelan County, WA"	"53007"	11	76533	Unreliable
	"Clallam County, WA"	"53009"	19	75474	Unreliable
	"Clark County, WA"	"53011"	86	474643	18.1
	"Cowlitz County, WA"	"53015"	28	106910	26.2
	"Franklin County, WA"	"53021"	10	92125	Unreliable
	"Grant County, WA"	"53025"	16	95158	Unreliable
	"Grays Harbor County, WA"	"53027"	20	72697	27.5
	"Island County, WA"	"53029"	16	83159	Unreliable
	"King County, WA"	"53033"	364	2188649	16.6
	"Kitsap County, WA"	"53035"	37	266414	13.9
	"Lewis County, WA"	"53041"	12	78200	Unreliable
	"Mason County, WA"	"53045"	13	63710	Unreliable
	"Pierce County, WA"	"53053"	174	876764	19.8
	"Skagit County, WA"	"53057"	20	125619	15.9
	"Snohomish County, WA"	"53061"	146	801633	18.2
	"Spokane County, WA"	"53063"	98	506152	19.4
	"Thurston County, WA"	"53067"	43	280588	15.3
	"Walla Walla County, WA"	"53071"	18	60567	Unreliable
	"Whatcom County, WA"	"53073"	38	221404	17.2
	"Yakima County, WA"	"53077"	44	250193	17.6
	"Berkeley County, WV"	"54003"	94	114920	81.8
	"Boone County, WV"	"54005"	13	22349	Unreliable
	"Cabell County, WV"	"54011"	152	94958	160.1
	"Fayette County, WV"	"54019"	32	43521	73.5
	"Hampshire County, WV"	"54027"	12	23471	Unreliable
	"Hancock County, WV"	"54029"	17	29448	Unreliable
	"Harrison County, WV"	"54033"	21	67811	31.0
	"Jefferson County, WV"	"54037"	24	56338	42.6
	"Kanawha County, WV"	"54039"	133	183293	72.6
	"Lincoln County, WV"	"54043"	17	20825	Unreliable
	"Logan County, WV"	"54045"	37	32925	112.4
	"McDowell County, WV"	"54047"	10	18456	Unreliable
	"Marion County, WV"	"54049"	11	56337	Unreliable
	"Mason County, WV"	"54053"	17	26801	Unreliable
	"Mercer County, WV"	"54055"	37	59753	61.9
	"Mingo County, WV"	"54059"	18	24127	Unreliable
	"Monongalia County, WV"	"54061"	32	105030	30.5
	"Morgan County, WV"	"54065"	15	17686	Unreliable
	"Ohio County, WV"	"54069"	19	42035	Unreliable
	"Putnam County, WV"	"54079"	36	56792	63.4
	"Raleigh County, WV"	"54081"	61	75022	81.3
	"Wayne County, WV"	"54099"	52	40153	129.5
	"Wood County, WV"	"54107"	20	85104	23.5
	"Wyoming County, WV"	"54109"	13	21210	Unreliable
	"Brown County, WI"	"55009"	42	262052	16.0
	"Chippewa County, WI"	"55017"	12	63813	Unreliable
	"Columbia County, WI"	"55021"	14	57248	Unreliable
	"Dane County, WI"	"55025"	109	536416	20.3
	"Dodge County, WI"	"55027"	22	87786	25.1
	"Jefferson County, WI"	"55055"	22	84832	25.9
	"Kenosha County, WI"	"55059"	53	168521	31.5
	"La Crosse County, WI"	"55063"	28	118274	23.7
	"Manitowoc County, WI"	"55071"	12	79175	Unreliable
	"Marathon County, WI"	"55073"	19	135732	Unreliable
	"Milwaukee County, WI"	"55079"	359	952085	37.7
	"Outagamie County, WI"	"55087"	24	186059	12.9
	"Ozaukee County, WI"	"55089"	13	88429	Unreliable
	"Racine County, WI"	"55101"	52	196071	26.5
	"Rock County, WI"	"55105"	51	162309	31.4
	"Sheboygan County, WI"	"55117"	22	115344	19.1
	"Walworth County, WI"	"55127"	18	103082	Unreliable
	"Washington County, WI"	"55131"	22	135101	16.3
	"Waukesha County, WI"	"55133"	77	400621	19.2
	"Winnebago County, WI"	"55139"	34	170414	20.0
	"Wood County, WI"	"55141"	11	73126	Unreliable
	"Laramie County, WY"	"56021"	15	98327	Unreliable
	"Natrona County, WY"	"56025"	10	79547	Unreliable
"Total"			73990	325719178	22.7
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes"
"Year/Month: 2017"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 10, 2019 8:43:58 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Oct 10, 2019 8:43:58 PM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"---"
Caveats:
"1. Data for Prince of Wales-Outer Ketchikan Census Area, AK (FIPS code 02201), Skagway-Hoonah-Angoon Census Area, AK (FIPS code"
"02232) and Wrangell-Petersburg Census Area, AK (FIPS code 02280) are only available for 2013 and earlier; for computational"
"purposes, counts and population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year"
"requests for this entity do not include any data for years after 2013, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Alaska2014."
"2. Data for Bedford city, Va. (FIPS code 51515) are only available for 2013 and earlier; for computational purposes, counts and"
"population estimates for 2014 and later are set to zero. Thus, counts and rates shown in multi-year requests for this entity do"
"not include any data for years after 2014, only data for 2013 and earlier. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Bedford."
"3. Death rates for Clifton Forge city, Virginia (FIPS code 51560) are available only for 1999-2000. For 2001 and beyond, death"
"counts and population estimates for Clifton Forge city have been combined with those for Alleghany county, Virginia (FIPS code"
"51005). Death counts and population estimates for this entity from multi-year requests, only reflect data from 1999 and 2000;"
"for 2001 and beyond they have been set to zero. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Clifton Forge."
"4. Deaths and population estimates are shown separately from the adjacent counties for Carson City, Nevada (FIPS code 32510)."
"5. Deaths and population estimates are reported separately for Baltimore City (FIPS code 24510) and Baltimore county (FIPS code"
"24005)."
"6. Deaths and population estimates are reported separately for St. Louis City (FIPS code 29510) and county (FIPS code 29189)."
"7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"9. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
